94, 10, 0, Bask, Pyr, GABA
95, 10, 0, Bask, Pyr, GABA
96, 10, 0, Bask, Pyr, GABA
97, 10, 0, Bask, Pyr, GABA
98, 10, 0, Bask, Pyr, GABA
99, 10, 0, Bask, Pyr, GABA
100, 10, 0, Bask, Pyr, GABA
81, 11, 0, Bask, Pyr, GABA
82, 11, 0, Bask, Pyr, GABA
83, 11, 0, Bask, Pyr, GABA
84, 11, 0, Bask, Pyr, GABA
85, 11, 0, Bask, Pyr, GABA
86, 11, 0, Bask, Pyr, GABA
87, 11, 0, Bask, Pyr, GABA
88, 11, 0, Bask, Pyr, GABA
89, 11, 0, Bask, Pyr, GABA
90, 11, 0, Bask, Pyr, GABA
91, 11, 0, Bask, Pyr, GABA
92, 11, 0, Bask, Pyr, GABA
93, 11, 0, Bask, Pyr, GABA
94, 11, 0, Bask, Pyr, GABA
95, 11, 0, Bask, Pyr, GABA
96, 11, 0, Bask, Pyr, GABA
97, 11, 0, Bask, Pyr, GABA
98, 11, 0, Bask, Pyr, GABA
99, 11, 0, Bask, Pyr, GABA
100, 11, 0, Bask, Pyr, GABA
81, 12, 0, Bask, Pyr, GABA
82, 12, 0, Bask, Pyr, GABA
83, 12, 0, Bask, Pyr, GABA
84, 12, 0, Bask, Pyr, GABA
85, 12, 0, Bask, Pyr, GABA
86, 12, 0, Bask, Pyr, GABA
87, 12, 0, Bask, Pyr, GABA
88, 12, 0, Bask, Pyr, GABA
89, 12, 0, Bask, Pyr, GABA
90, 12, 0, Bask, Pyr, GABA
91, 12, 0, Bask, Pyr, GABA
92, 12, 0, Bask, Pyr, GABA
93, 12, 0, Bask, Pyr, GABA
94, 12, 0, Bask, Pyr, GABA
95, 12, 0, Bask, Pyr, GABA
96, 12, 0, Bask, Pyr, GABA
97, 12, 0, Bask, Pyr, GABA
98, 12, 0, Bask, Pyr, GABA
99, 12, 0, Bask, Pyr, GABA
100, 12, 0, Bask, Pyr, GABA
81, 13, 0, Bask, Pyr, GABA
82, 13, 0, Bask, Pyr, GABA
83, 13, 0, Bask, Pyr, GABA
84, 13, 0, Bask, Pyr, GABA
85, 13, 0, Bask, Pyr, GABA
86, 13, 0, Bask, Pyr, GABA
87, 13, 0, Bask, Pyr, GABA
88, 13, 0, Bask, Pyr, GABA
89, 13, 0, Bask, Pyr, GABA
90, 13, 0, Bask, Pyr, GABA
91, 13, 0, Bask, Pyr, GABA
92, 13, 0, Bask, Pyr, GABA
93, 13, 0, Bask, Pyr, GABA
94, 13, 0, Bask, Pyr, GABA
95, 13, 0, Bask, Pyr, GABA
96, 13, 0, Bask, Pyr, GABA
97, 13, 0, Bask, Pyr, GABA
98, 13, 0, Bask, Pyr, GABA
99, 13, 0, Bask, Pyr, GABA
100, 13, 0, Bask, Pyr, GABA
81, 14, 0, Bask, Pyr, GABA
82, 14, 0, Bask, Pyr, GABA
83, 14, 0, Bask, Pyr, GABA
84, 14, 0, Bask, Pyr, GABA
85, 14, 0, Bask, Pyr, GABA
86, 14, 0, Bask, Pyr, GABA
87, 14, 0, Bask, Pyr, GABA
88, 14, 0, Bask, Pyr, GABA
89, 14, 0, Bask, Pyr, GABA
90, 14, 0, Bask, Pyr, GABA
91, 14, 0, Bask, Pyr, GABA
92, 14, 0, Bask, Pyr, GABA
93, 14, 0, Bask, Pyr, GABA
94, 14, 0, Bask, Pyr, GABA
95, 14, 0, Bask, Pyr, GABA
96, 14, 0, Bask, Pyr, GABA
97, 14, 0, Bask, Pyr, GABA
98, 14, 0, Bask, Pyr, GABA
99, 14, 0, Bask, Pyr, GABA
100, 14, 0, Bask, Pyr, GABA
81, 15, 0, Bask, Pyr, GABA
82, 15, 0, Bask, Pyr, GABA
83, 15, 0, Bask, Pyr, GABA
84, 15, 0, Bask, Pyr, GABA
85, 15, 0, Bask, Pyr, GABA
86, 15, 0, Bask, Pyr, GABA
87, 15, 0, Bask, Pyr, GABA
88, 15, 0, Bask, Pyr, GABA
89, 15, 0, Bask, Pyr, GABA
90, 15, 0, Bask, Pyr, GABA
91, 15, 0, Bask, Pyr, GABA
92, 15, 0, Bask, Pyr, GABA
93, 15, 0, Bask, Pyr, GABA
94, 15, 0, Bask, Pyr, GABA
95, 15, 0, Bask, Pyr, GABA
96, 15, 0, Bask, Pyr, GABA
97, 15, 0, Bask, Pyr, GABA
98, 15, 0, Bask, Pyr, GABA
99, 15, 0, Bask, Pyr, GABA
100, 15, 0, Bask, Pyr, GABA
81, 16, 0, Bask, Pyr, GABA
82, 16, 0, Bask, Pyr, GABA
83, 16, 0, Bask, Pyr, GABA
84, 16, 0, Bask, Pyr, GABA
85, 16, 0, Bask, Pyr, GABA
86, 16, 0, Bask, Pyr, GABA
87, 16, 0, Bask, Pyr, GABA
88, 16, 0, Bask, Pyr, GABA
89, 16, 0, Bask, Pyr, GABA
90, 16, 0, Bask, Pyr, GABA
91, 16, 0, Bask, Pyr, GABA
92, 16, 0, Bask, Pyr, GABA
93, 16, 0, Bask, Pyr, GABA
94, 16, 0, Bask, Pyr, GABA
95, 16, 0, Bask, Pyr, GABA
96, 16, 0, Bask, Pyr, GABA
97, 16, 0, Bask, Pyr, GABA
98, 16, 0, Bask, Pyr, GABA
99, 16, 0, Bask, Pyr, GABA
100, 16, 0, Bask, Pyr, GABA
81, 17, 0, Bask, Pyr, GABA
82, 17, 0, Bask, Pyr, GABA
83, 17, 0, Bask, Pyr, GABA
84, 17, 0, Bask, Pyr, GABA
85, 17, 0, Bask, Pyr, GABA
86, 17, 0, Bask, Pyr, GABA
87, 17, 0, Bask, Pyr, GABA
88, 17, 0, Bask, Pyr, GABA
89, 17, 0, Bask, Pyr, GABA
90, 17, 0, Bask, Pyr, GABA
91, 17, 0, Bask, Pyr, GABA
92, 17, 0, Bask, Pyr, GABA
93, 17, 0, Bask, Pyr, GABA
94, 17, 0, Bask, Pyr, GABA
95, 17, 0, Bask, Pyr, GABA
96, 17, 0, Bask, Pyr, GABA
97, 17, 0, Bask, Pyr, GABA
98, 17, 0, Bask, Pyr, GABA
99, 17, 0, Bask, Pyr, GABA
100, 17, 0, Bask, Pyr, GABA
81, 18, 0, Bask, Pyr, GABA
82, 18, 0, Bask, Pyr, GABA
83, 18, 0, Bask, Pyr, GABA
84, 18, 0, Bask, Pyr, GABA
85, 18, 0, Bask, Pyr, GABA
86, 18, 0, Bask, Pyr, GABA
87, 18, 0, Bask, Pyr, GABA
88, 18, 0, Bask, Pyr, GABA
89, 18, 0, Bask, Pyr, GABA
90, 18, 0, Bask, Pyr, GABA
91, 18, 0, Bask, Pyr, GABA
92, 18, 0, Bask, Pyr, GABA
93, 18, 0, Bask, Pyr, GABA
94, 18, 0, Bask, Pyr, GABA
95, 18, 0, Bask, Pyr, GABA
96, 18, 0, Bask, Pyr, GABA
97, 18, 0, Bask, Pyr, GABA
98, 18, 0, Bask, Pyr, GABA
99, 18, 0, Bask, Pyr, GABA
100, 18, 0, Bask, Pyr, GABA
81, 19, 0, Bask, Pyr, GABA
82, 19, 0, Bask, Pyr, GABA
83, 19, 0, Bask, Pyr, GABA
84, 19, 0, Bask, Pyr, GABA
85, 19, 0, Bask, Pyr, GABA
86, 19, 0, Bask, Pyr, GABA
87, 19, 0, Bask, Pyr, GABA
88, 19, 0, Bask, Pyr, GABA
89, 19, 0, Bask, Pyr, GABA
90, 19, 0, Bask, Pyr, GABA
91, 19, 0, Bask, Pyr, GABA
92, 19, 0, Bask, Pyr, GABA
93, 19, 0, Bask, Pyr, GABA
94, 19, 0, Bask, Pyr, GABA
95, 19, 0, Bask, Pyr, GABA
96, 19, 0, Bask, Pyr, GABA
97, 19, 0, Bask, Pyr, GABA
98, 19, 0, Bask, Pyr, GABA
99, 19, 0, Bask, Pyr, GABA
100, 19, 0, Bask, Pyr, GABA
81, 20, 0, Bask, Pyr, GABA
82, 20, 0, Bask, Pyr, GABA
83, 20, 0, Bask, Pyr, GABA
84, 20, 0, Bask, Pyr, GABA
